,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Final Region
0,SR Tendulkar ,1989,463,452,41,18426,200,44,21367,86,49,96,20,INDIA
1,KC Sangakkara ,2000,404,380,41,14234,169,41,18048,78,25,93,15,SL
2,RT Ponting ,1995,375,365,39,13704,164,42,17046,80,30,82,20,AUS
3,ST Jayasuriya ,1989,445,433,18,13430,189,32,14725,91,28,68,34,SL
4,DPMD Jayawardene ,1998,448,418,39,12650,144,33,16020,78,19,77,28,SL
5,Inzamam-ul-Haq ,1991,378,350,53,11739,137,39,15812,74,10,83,20,PAK
6,V Kohli ,2008,242,233,39,11609,183,59,12445,93,43,55,13,INDIA
7,JH Kallis ,1996,328,314,53,11579,139,44,15885,72,17,86,17,SA
8,SC Ganguly ,1992,311,300,23,11363,183,41,15416,73,22,72,16,INDIA
9,R Dravid ,1996,344,318,40,10889,153,39,15284,71,12,83,13,INDIA
10,MS Dhoni ,2004,350,297,84,10773,183,50,12303,87,10,73,10,INDIA
11,CH Gayle ,1999,301,294,17,10480,215,37,12019,87,25,54,25,WI
12,BC Lara ,1990,299,289,32,10405,169,40,13086,79,19,63,16,WI
13,TM Dilshan ,1999,330,303,41,10290,161,39,11933,86,22,47,11,SL
14,Mohammad Yousuf ,1998,288,273,40,9720,141,41,12942,75,15,64,15,PAK
15,AC Gilchrist ,1996,287,279,11,9619,172,35,9922,96,16,55,19,AUS
16,AB de Villiers ,2005,228,218,39,9577,176,53,9473,101,25,53,7,SA
17,M Azharuddin ,1985,334,308,54,9378,153,36,12669,74,7,58,9,INDIA
18,PA de Silva ,1984,308,296,30,9284,145,34,11443,81,11,64,17,SL
19,RG Sharma ,2007,221,214,32,8944,264,49,10063,88,28,43,13,INDIA
20,Saeed Anwar ,1989,247,244,19,8824,194,39,10938,80,20,43,15,PAK
21,S Chanderpaul ,1994,268,251,40,8778,150,41,12408,70,11,59,6,WI
22,Yuvraj Singh ,2000,304,278,40,8701,150,36,9924,87,14,52,18,INDIA
23,DL Haynes ,1978,238,237,28,8648,152,41,13707,63,17,57,13,WI
24,MS Atapattu ,1990,268,259,32,8529,132,37,12594,67,11,59,13,SL
25,ME Waugh ,1988,244,236,20,8500,173,39,11053,76,18,50,16,AUS
26,LRPL Taylor ,2006,228,212,37,8376,181,47,10091,83,20,50,9,NZ
27,V Sehwag ,1999,251,245,9,8273,219,35,7929,104,15,38,14,INDIA
28,HM Amla ,2008,181,178,14,8113,159,49,9178,88,27,39,4,SA
29,HH Gibbs ,1996,248,240,16,8094,175,36,9721,83,21,37,22,SA
30,Shahid Afridi ,1996,398,369,27,8064,124,23,6892,117,6,39,30,PAK
31,SP Fleming ,1994,280,269,21,8037,134,32,11242,71,8,49,17,NZ
32,MJ Clarke ,2003,245,223,44,7981,130,44,10104,78,8,58,10,AUS
33,SR Waugh ,1986,325,288,58,7569,120,32,9971,75,3,45,15,AUS
34,Shoaib Malik ,1999,287,258,40,7534,143,34,9199,81,9,44,15,PAK
35,A Ranatunga ,1982,269,255,47,7456,131,35,9571,77,4,49,18,SL
36,Javed Miandad ,1975,233,218,41,7381,119,41,11014,67,8,50,8,PAK
37,EJG Morgan ,2006,233,217,32,7348,148,39,8053,91,13,46,15,ENG
38,Younis Khan ,2000,265,255,23,7249,144,31,9628,75,7,48,22,PAK
39,Saleem Malik ,1982,283,256,38,7170,102,32,9383,76,5,47,19,PAK
40,NJ Astle ,1995,223,217,14,7090,145,34,9760,72,16,41,19,NZ
41,GC Smith ,2002,197,194,10,6989,141,37,8648,80,10,47,8,SA
42,WU Tharanga ,2005,235,223,17,6951,174,33,9155,75,15,37,17,SL
43,MG Bevan ,1994,232,196,67,6912,108,53,9320,74,6,46,5,AUS
44,Tamim Iqbal ,2007,204,202,8,6892,154,35,8865,77,11,47,18,BDESH
45,G Kirsten ,1993,185,185,19,6798,188,40,9436,72,13,45,11,SA
46,A Flower ,1992,213,208,16,6786,145,35,9097,74,4,55,13,ZIM
47,IVA Richards ,1975,187,167,24,6721,189,47,7451,90,11,45,7,WI
48,MJ Guptill ,2009,179,176,19,6626,237,42,7586,87,16,35,15,NZ
49,Mohammad Hafeez ,2003,218,216,15,6614,140,32,8633,76,11,38,19,PAK
50,GW Flower ,1992,221,214,18,6571,142,33,9723,67,6,40,18,ZIM
51,Ijaz Ahmed ,1986,250,232,29,6564,139,32,8174,80,10,37,14,PAK
52,AR Border ,1979,273,252,39,6524,127,30,9134,71,3,39,11,AUS
53,Shakib Al Hasan ,2006,206,194,27,6323,134,37,7641,82,9,47,10,BDESH
54,BRM Taylor ,2004,193,192,15,6293,145,35,8256,76,10,38,15,ZIM
55,RB Richardson ,1983,224,217,30,6248,122,33,9801,63,5,44,8,WI
56,ML Hayden ,1993,161,155,15,6133,181,43,7767,78,10,36,9,AUS
57,KS Williamson ,2010,149,142,14,6132,148,47,7494,81,13,39,5,NZ
58,Mushfiqur Rahim ,2006,216,202,34,6100,144,36,7718,79,7,37,10,BDESH
59,BB McCullum ,2002,260,228,28,6083,166,30,6312,96,5,32,20,NZ
60,DM Jones ,1984,164,161,25,6068,145,44,8362,72,7,46,6,AUS
61,DC Boon ,1984,181,177,16,5964,122,37,9157,65,5,37,6,AUS
62,JN Rhodes ,1992,245,220,51,5935,121,35,7336,80,2,33,12,SA
63,JE Root ,2013,143,135,21,5856,133,51,6702,87,16,33,4,ENG
64,Rameez Raja ,1985,198,197,15,5841,119,32,9226,63,9,31,15,PAK
65,AD Mathews ,2008,214,184,48,5812,139,42,6974,83,3,40,15,SL
66,RR Sarwan ,2000,181,169,33,5804,120,42,7663,75,5,38,8,WI
67,CL Hooper ,1987,227,206,43,5761,113,35,7517,76,7,29,7,WI
68,SR Watson ,2002,190,169,27,5757,185,40,6365,90,9,33,12,AUS
69,H Masakadza ,2001,209,208,4,5658,178,27,7728,73,5,34,15,ZIM
70,SK Raina ,2005,226,194,35,5615,116,35,6005,93,5,36,14,INDIA
71,MN Samuels ,2000,207,196,26,5606,133,32,7463,75,10,30,11,WI
72,WJ Cronje ,1992,188,175,31,5565,112,38,7277,76,2,39,8,SA
73,S Dhawan ,2010,133,131,7,5518,143,44,5869,94,17,27,5,INDIA
74,F du Plessis ,2011,143,136,20,5507,185,47,6215,88,12,35,3,SA
75,MEK Hussey ,2004,185,157,44,5442,109,48,6243,87,3,39,3,AUS
76,IR Bell ,2004,161,157,14,5416,141,37,7019,77,4,35,6,ENG
77,A Jadeja ,1992,196,179,36,5359,119,37,7677,69,6,30,10,INDIA
78,DR Martyn ,1992,208,182,51,5346,144,40,6877,77,5,37,10,AUS
79,G Gambhir ,2003,147,143,11,5238,150,39,6144,85,11,34,11,INDIA
80,ADR Campbell ,1992,188,184,14,5185,131,30,7834,66,7,30,11,ZIM
81,RS Mahanama ,1986,213,198,23,5162,119,29,8521,60,4,35,15,SL
82,CG Greenidge ,1975,128,127,13,5134,133,45,7908,64,11,31,3,WI
83,Misbah-ul-Haq ,2002,162,149,31,5122,96,43,6945,73,0,42,6,PAK
84,JP Duminy ,2004,199,179,40,5117,150,36,6052,84,4,27,7,SA
85,PD Collingwood ,2001,197,181,37,5092,120,35,6614,76,5,26,7,ENG
86,A Symonds ,1998,198,161,33,5088,156,39,5504,92,6,30,15,AUS
87,Abdul Razzaq ,1996,265,228,57,5080,112,29,6252,81,3,23,14,PAK
88,DA Warner ,2009,116,114,5,4990,179,45,5222,95,17,20,2,AUS
89,CL Cairns ,1991,215,193,25,4950,115,29,5874,84,4,26,9,NZ
90,Q de Kock ,2013,115,115,6,4907,178,45,5154,95,14,24,3,SA
