,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,Final Region,p1_z,p2_z,p3_z,rating
0,SR Tendulkar ,1989,463,452,41,18426,200,44,21367,86,49,96,20,INDIA,10.0,10.0,72.04379204563651,10.0
1,KC Sangakkara ,2000,404,380,41,14234,169,41,18048,78,25,93,15,SL,6.865620328692103,4.942602040816327,50.476427524208724,6.690866408421204
3,ST Jayasuriya ,1989,445,433,18,13430,189,32,14725,91,28,68,34,SL,4.816705012844346,4.047619047619048,55.56284192251959,6.657806039723719
2,RT Ponting ,1995,375,365,39,13704,164,42,17046,80,30,82,20,AUS,6.164603870879905,5.229591836734694,49.84302394712238,6.540932276963218
6,V Kohli ,2008,242,233,39,11609,183,59,12445,93,43,55,13,INDIA,4.074044356505203,5.0276360544217695,49.08454907800584,6.051176872081797
4,DPMD Jayawardene ,1998,448,418,39,12650,144,33,16020,78,19,77,28,SL,5.440587165911265,3.1101190476190474,44.859267119660004,5.643075499152541
10,MS Dhoni ,2004,350,297,84,10773,183,50,12303,87,10,73,10,INDIA,4.942745543959395,1.55187074829932,42.61112087480334,5.121681233209446
16,AB de Villiers ,2005,228,218,39,9577,176,53,9473,101,25,53,7,SA,2.6239228531154914,2.816751700680272,43.97622106182565,4.993208227926919
7,JH Kallis ,1996,328,314,53,11579,139,44,15885,72,17,86,17,SA,5.261983067711529,3.107993197278912,37.902739116707316,4.959530490606609
5,Inzamam-ul-Haq ,1991,378,350,53,11739,137,39,15812,74,10,83,20,PAK,5.352473932123097,1.764455782312925,39.49388600092122,4.936812918222003
11,CH Gayle ,1999,301,294,17,10480,215,37,12019,87,25,54,25,WI,3.071518333477089,2.8698979591836737,41.45219964429027,4.848490721245482
8,SC Ganguly ,1992,311,300,23,11363,183,41,15416,73,22,72,16,INDIA,4.51106463904449,3.3673469387755106,37.71229068256903,4.837780816541264
13,TM Dilshan ,1999,330,303,41,10290,161,39,11933,86,22,47,11,SL,3.5251040745228908,2.198129251700681,40.2328568408553,4.725193110300873
15,AC Gilchrist ,1996,287,279,11,9619,172,35,9922,96,16,55,19,AUS,2.286625793669366,1.8707482993197284,41.98249101115326,4.611371113088641
