,Player,Span,Mat,Inns,NO,Runs,HS,Ave,BF,SR,100,50,0,4s,6s,Final Region
0,V Kohli ,2010,75,70,20,2633,94,52,1907,138,0,24,2,247,71,INDIA
1,RG Sharma ,2007,104,96,14,2633,118,32,1905,138,4,19,6,234,120,INDIA
2,MJ Guptill ,2009,83,80,7,2436,105,33,1810,134,2,15,2,215,113,NZ
3,Shoaib Malik ,2006,111,104,30,2263,75,30,1824,124,0,7,1,186,61,PAK
4,BB McCullum ,2005,71,70,10,2140,123,35,1571,136,2,13,3,199,91,NZ
5,DA Warner ,2009,76,76,8,2079,100,30,1476,140,1,15,5,203,86,AUS
6,EJG Morgan ,2009,86,84,17,2002,91,29,1475,135,0,11,3,151,96,ENG
7,Mohammad Shahzad ,2010,65,65,3,1936,118,31,1436,134,1,12,3,218,72,AFG
8,JP Duminy ,2007,81,75,25,1934,96,38,1532,126,0,11,6,138,71,SA
9,PR Stirling ,2009,72,71,6,1929,91,29,1401,137,0,16,8,233,59,IRE
10,Mohammad Hafeez ,2006,89,86,8,1908,86,24,1643,116,0,10,6,196,51,PAK
11,TM Dilshan ,2006,80,79,12,1889,104,28,1567,120,1,13,10,223,33,SL
12,AJ Finch ,2011,58,58,9,1878,172,38,1200,156,2,11,4,182,90,AUS
13,LRPL Taylor ,2006,95,87,19,1743,63,25,1430,121,0,5,5,110,65,NZ
14,Umar Akmal ,2009,84,79,14,1690,94,26,1377,122,0,8,10,122,55,PAK
15,AB de Villiers ,2006,78,75,11,1672,79,26,1237,135,0,10,5,140,60,SA
16,H Masakadza ,2006,66,66,2,1662,93,25,1418,117,0,11,1,151,65,ZIM
17,AD Hales ,2011,60,60,7,1644,116,31,1203,136,1,8,4,175,55,ENG
18,CH Gayle ,2006,58,54,4,1627,117,32,1139,142,2,13,3,138,105,WI
19,MS Dhoni ,2006,98,85,42,1617,56,37,1282,126,0,2,1,116,52,INDIA
20,Tamim Iqbal ,2007,75,75,5,1613,103,23,1383,116,1,6,6,174,41,BDESH
21,MN Samuels ,2007,67,65,10,1611,89,29,1386,116,0,10,0,144,69,WI
22,SK Raina ,2006,78,66,11,1605,101,29,1190,134,1,5,3,145,58,INDIA
23,GJ Maxwell ,2012,61,54,9,1576,145,35,985,160,3,7,1,133,81,AUS
24,Shakib Al Hasan ,2006,76,76,10,1567,84,23,1266,123,0,9,5,163,33,BDESH
25,C Munro ,2012,60,57,7,1546,109,30,966,160,3,9,5,114,100,NZ
26,KS Williamson ,2011,57,55,7,1505,73,31,1236,121,0,9,2,158,26,NZ
27,S Dhawan ,2011,58,57,3,1504,92,27,1173,128,0,9,1,166,46,INDIA
28,KJ O'Brien ,2008,90,83,10,1504,124,20,1124,133,1,3,10,117,69,IRE
29,DPMD Jayawardene ,2006,55,55,8,1493,100,31,1121,133,1,9,4,173,33,SL
30,Ahmed Shehzad ,2009,59,59,2,1471,111,25,1282,114,1,7,2,157,33,PAK
31,SR Watson ,2006,58,56,6,1462,124,29,1006,145,1,10,3,115,83,AUS
32,Mahmudullah ,2007,83,76,16,1430,64,23,1166,122,0,4,2,113,48,BDESH
33,Shahid Afridi ,2006,99,91,12,1416,54,17,944,150,0,4,8,103,73,PAK
34,Babar Azam ,2016,36,36,8,1405,97,50,1102,127,0,12,0,139,20,PAK
