,Player,Mat,Inns,Balls,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Region,Region1,Region2,Final Region,p1_z,p2_z,p3_z,rating
0,M Muralitharan ,350,341,18811,12326,534,7,23,3,35,15,10,SL,Asia,ICC,SL,0.09325208015938134,10.0,3.4902028596352395e-06,0.0
1245,Mehmood Quaraishy ,3,2,108,94,3,2,31,5,36,0,0,,EAf,,,0.0006376257137060555,0.016509974776427423,0.8263127245049154,0.0
1257,A Patel ,2,2,60,73,3,3,24,7,20,0,0,,CAN,,CAN,0.0005948637316561852,0.013758312313689519,1.9182053155099819,0.0
1256,D Olivier ,2,2,114,124,3,2,41,6,38,0,0,,SA,,SA,0.0002761159687068574,0.017427195597340055,0.5921149893546243,0.0
1255,RG Nijman ,1,1,49,31,3,3,10,3,16,0,0,,NL,,NL,0.0,0.011006649850951615,5.548231920640803,0.0
1254,N Ncube ,1,1,53,69,3,3,23,7,17,0,0,,ZIM,,ZIM,0.0,0.011694565466636093,2.298118089660371,0.0
1253,Nasir Aziz ,5,5,264,257,3,1,85,5,88,0,0,,UAE,,UAE,0.00035093282596057357,0.020178858060077957,0.12215135261227995,0.0
1252,Najeeb Amar ,4,4,240,172,3,2,57,4,80,0,0,,HKG,,HKG,0.000366955123658203,0.03668883283650538,0.2020444434609,0.0
1251,N M'shangwe ,6,6,336,260,3,2,86,4,112,0,0,,ZIM,,ZIM,0.00034476274055036883,0.051364365971107544,0.09484736770916165,0.0
1250,GMC Mol ,6,6,162,111,3,2,37,4,54,0,0,,NL,,NL,0.0010393142468614169,0.024764962164641136,0.46592107932200666,0.0
1249,Mohammad Nazir ,4,4,222,156,3,2,52,4,74,0,0,,PAK,,PAK,0.0004126062616628659,0.03393717037376748,0.24111541100378092,0.0
1248,A Mithun ,5,5,180,203,3,2,67,6,60,0,0,,INDIA,,INDIA,0.0005921873114213297,0.027516624627379038,0.22772812516202665,0.0
1247,PL Mhambrey ,3,3,126,120,3,2,40,5,42,0,0,,INDIA,,INDIA,0.00047394429469901244,0.019261637239165328,0.5537444485100036,0.0
1246,JM Mennie ,2,2,120,131,3,3,43,6,40,0,0,,AUS,,AUS,0.0002607660001253686,0.027516624627379038,0.5321755717937062,0.0
1244,RAL Massie ,3,3,183,129,3,2,43,4,61,0,0,,AUS,,AUS,0.0003476880001671581,0.027975235037835357,0.3544304348106154,0.0
1230,GP Howarth ,70,7,90,68,3,1,22,4,30,0,0,,NZ,,NZ,0.025812300906640558,0.0068791561568447585,1.3733394602739444,0.0
1243,AK Markram ,26,6,120,132,3,2,44,6,40,0,0,,SA,,SA,0.0063403577554521,0.01834441641825269,0.5281048197985139,0.0
1242,DSK Madushanka ,1,1,37,26,3,3,8,4,12,0,0,,SL,,SL,0.0,0.008254987388213711,8.763890335131196,0.0
1241,BP Kruger ,5,5,184,131,3,3,43,4,61,0,0,,NL,,NL,0.0006953760003343162,0.04196285255675303,0.3470710250828518,0.0
1240,BL Kotze ,5,5,258,276,3,2,92,6,86,0,0,,NAM,,NAM,0.0003726708074534164,0.03944049529924329,0.1162222187851842,0.0
1239,Khalid Khan ,2,2,108,93,3,2,31,5,36,0,0,,HKG,,HKG,0.00031881285685302774,0.016509974776427423,0.8352595004144228,0.0
1238,Kamran Hussain ,2,2,102,67,3,2,22,3,34,0,0,,PAK,,PAK,0.00028056848811565827,0.01559275395551479,1.2299469036969715,0.0
1237,AI Kallicharran ,31,4,105,64,3,2,21,3,35,0,0,,WI,,WI,0.008856372737774353,0.016051364365971106,1.251088700718869,0.0
1236,Junaid Zia ,4,4,145,127,3,3,42,5,48,0,0,,PAK,,PAK,0.0006706456167372603,0.03301994955285484,0.45442729082548416,0.0
1235,DM Jones ,164,8,106,81,3,2,27,4,35,0,0,,AUS,,AUS,0.048600046587468006,0.016051364365971106,0.977962047289219,0.0
1234,GSNFG Jayasuriya ,12,11,312,277,3,1,92,5,104,0,0,,SL,,SL,0.0008540372670807462,0.023847741343728492,0.09575270888025054,0.0
1233,SD Jack ,2,2,108,86,3,2,28,4,36,0,0,,SA,,SA,0.0002862276986266203,0.016509974776427423,0.9037127393499577,0.0
1232,Iqbal Sikander ,4,4,210,147,3,1,49,4,70,0,0,,PAK,,PAK,0.000444468892678366,0.0160513643659711,0.2706798089012,0.0
1258,Pervez Mir ,3,3,122,77,3,1,25,3,40,0,0,,PAK,,PAK,0.00048733153638814037,0.009172208209126344,0.8941090813263224,0.0
1259,RT Ponting ,375,5,150,104,3,1,34,4,50,0,0,,AUS,ICC,AUS,0.08578616352201267,0.011465260261407931,0.5373416890569414,0.0
1260,GD Porter ,2,2,108,33,3,2,11,1,36,0,0,,AUS,,AUS,0.00019603038470962993,0.016509974776427423,2.3643448376757195,0.0
1261,R Powell ,34,13,245,243,3,1,81,5,81,0,0,,WI,,WI,0.003111377325213819,0.018573721623480848,0.1393533211367742,0.0
1286,Wajahatullah Wasti ,15,3,55,69,3,3,23,7,18,0,0,,PAK,,PAK,0.008728465955701408,0.012382481082320568,2.2145501591272634,0.0
1285,JN Valentine ,3,3,114,66,3,1,22,3,38,0,0,,CAN,,CAN,0.0005611369762313165,0.008713597798670028,1.1172350854404132,0.0
1284,S Tyagi ,4,4,165,144,3,1,48,5,55,0,0,,INDIA,,INDIA,0.0005699685534591197,0.012611786287548724,0.35175692886135035,0.0
1283,MS Tshabalala ,4,4,150,151,3,1,50,6,50,0,0,,SA,,SA,0.0006501347708894897,0.011465260261407931,0.3688038467472736,0.0
1282,FJ Titmus ,2,1,56,53,3,3,17,5,18,0,0,,ENG,,ENG,0.0006183605517678774,0.012382481082320568,2.8349501825151577,0.0
1281,JG Thomas ,3,3,156,144,3,2,48,5,52,0,0,,ENG,,ENG,0.00037997903563941315,0.023847741343728496,0.3720505978341205,0.0
1280,HDRL Thirimanne ,127,4,104,94,3,2,31,5,34,0,0,,SL,,SL,0.040170419963481495,0.01559275395551479,0.8580939831397203,0.0
1279,AR Tait ,5,5,120,88,3,2,29,4,40,0,0,,NZ,,NZ,0.0011004740217492339,0.01834441641825269,0.7947390754834536,0.0
1278,MR Swart ,12,11,366,306,3,1,102,5,122,0,0,,NL,,NL,0.0007218610714726217,0.027975235037835347,0.0737290837672628,0.0
1277,GP Sulzberger ,3,3,132,102,3,1,34,4,44,0,0,,NZ,,NZ,0.0004587495375508698,0.010089429030038979,0.6226804541938052,0.0
1276,LW Stott ,1,1,72,48,3,3,16,4,24,0,0,,NZ,,NZ,0.0,0.01650997477642742,2.4355411911596674,0.0
1275,KR Stackpole ,6,2,77,54,3,3,18,4,25,0,0,,AUS,,AUS,0.002326045722272137,0.017197890392111895,2.0234517793930773,0.0
1274,D Soraine ,4,3,113,94,3,2,31,4,37,0,0,,CAN,,CAN,0.0007651508564472664,0.01696858518688374,0.7897502145710702,0.0
