,Player,Mat,Inns,Overs,Mdns,Runs,Wkts,BBI,Ave,Econ,SR,4,5,Region,Region1,Region2,Final Region,p1_z,p2_z,p3_z,rating
1201,MJ Guptill ,83,1,1,0,11,0,0,0,11,0,0,0,,NZ,,NZ,10.0,0.0,0.0,10.0
1197,AJ Finch ,58,2,2,0,27,0,0,0,13,0,0,0,,AUS,,AUS,8.21507760532151,0.0,0.0,8.21507760532151
1,Shahid Afridi ,99,97,361,4,2396,98,4,24,6,22,3,0,,ICC,PAK,PAK,0.2318273617015269,10.0,0.0,7.7318273617015265
0,SL Malinga ,79,79,284,1,2061,106,5,19,7,16,1,2,,SL,,SL,0.28206399456491443,9.833024118738404,0.0035955599292985326,7.658629863583366
2,Shakib Al Hasan ,76,75,277,2,1894,92,5,20,6,18,3,1,,BDESH,,BDESH,0.2192579829677857,9.601113172541744,0.011437072751924208,7.4258113987500565
1149,Ahmed Shehzad ,59,1,1,0,10,0,0,0,10,0,0,0,,PAK,,PAK,6.430155210643016,0.0,0.0,6.430155210643016
7,TG Southee ,66,64,233,2,1954,75,5,26,8,18,0,1,,NZ,,NZ,0.18642224638806895,7.826994434137292,0.008210412992469324,6.060773278487273
8,Mohammad Nabi ,75,75,256,5,1839,69,4,26,7,22,3,0,,AFG,,AFG,0.18570523774811484,7.040816326530614,0.030197070441433712,5.481416017866792
4,Umar Gul ,60,60,200,2,1443,85,5,16,7,14,4,2,,PAK,,PAK,0.2588285762707078,6.89935064935065,0.020576330990687328,5.4436297287790385
1321,GC Smith ,33,3,4,0,57,0,0,0,14,0,0,0,,SA,,SA,4.966740576496675,0.0,0.0,4.966740576496675
3,Saeed Ajmal ,64,63,238,2,1516,85,4,17,6,16,4,0,,PAK,,PAK,0.22138887896593812,6.307977736549166,0.02152146346131064,4.963132913108468
1220,DPMD Jayawardene ,55,1,1,0,8,0,0,0,8,0,0,0,,SL,,SL,4.789356984478937,0.0,0.0,4.789356984478937
10,BAW Mendis ,39,39,147,5,952,66,6,14,6,13,3,2,,SL,,SL,0.16560106042784298,5.969387755102043,0.08683583013466915,4.68605979182171
6,GH Dockrell ,73,69,221,1,1539,75,4,20,6,17,1,0,,IRE,,IRE,0.21048766364907429,5.913729128014844,0.009585523853418338,4.650577271586917
5,Rashid Khan ,45,45,171,1,1052,84,5,12,6,12,3,2,,AFG,ICC,AFG,0.22681373310548394,5.844155844155846,0.01701613865676741,4.618438685550752
26,YS Chahal ,36,36,140,1,1139,52,6,21,8,16,2,1,,INDIA,,INDIA,0.1289891300765932,5.788497217068649,0.012034303659462448,4.47637919470781
1194,Fakhar Zaman ,34,1,1,0,12,0,0,0,12,0,0,0,,PAK,,PAK,4.390243902439026,0.0,0.0,4.390243902439026
9,KMDN Kulasekara ,58,58,205,6,1530,66,4,23,7,18,2,0,,SL,,SL,0.16537605898704422,5.510204081632653,0.05422667167500422,4.3251424560490355
11,SCJ Broad ,56,55,195,2,1491,65,4,22,7,18,1,0,,ENG,,ENG,0.168062479698335,5.426716141001857,0.018438131977282713,4.247318651438369
17,S Badree ,52,52,191,4,1180,56,4,21,6,20,1,0,,WI,World,WI,0.140966692155134,5.1948051948051965,0.061323410861474074,4.067732293689769
47,Mashrafe Mortaza ,54,53,189,1,1527,42,4,36,8,27,1,0,,BDESH,,BDESH,0.10146517215027401,5.259740259740261,0.00837768293865769,4.050459208424798
48,B Kumar ,43,43,154,2,1088,41,5,26,7,22,0,1,,INDIA,,INDIA,0.10540027007325438,5.229591836734695,0.028841041643064818,4.042014668445808
43,DJG Sammy ,68,59,152,0,1116,44,5,25,7,20,1,1,,WI,World,WI,0.17618879489316025,5.102040816326532,0.0,4.002719407138059
19,Mohammad Hafeez ,89,67,186,2,1226,54,4,22,6,20,1,0,,PAK,,PAK,0.23048568644343084,5.009276437847868,0.027651564475405933,4.001268797067034
15,NL McCullum ,63,59,187,0,1278,58,4,22,6,19,2,0,,NZ,,NZ,0.16238764272150813,5.1113172541743985,0.0,3.9958755833523067
1312,V Sehwag ,19,1,1,0,20,0,0,0,20,0,0,0,,INDIA,,INDIA,3.991130820399113,0.0,0.0,3.991130820399113
46,Imad Wasim ,41,40,147,3,877,42,5,20,5,21,1,1,,PAK,,PAK,0.09744799243012699,5.113636363636365,0.059494681848432394,3.962422606081617
28,SP Narine ,51,49,183,1,1105,52,4,21,6,21,1,0,,WI,,WI,0.1382026393677784,5.064935064935067,0.016653151402235687,3.9452305137701975
25,DJ Bravo ,66,56,173,0,1470,52,4,28,8,20,2,0,,WI,,WI,0.170483547833245,4.82374768089054,0.0,3.7882943085011505
12,Imran Tahir ,38,38,140,0,948,63,5,15,6,13,2,2,,SA,World,SA,0.14944850085443528,4.7483766233766245,0.0,3.7107309683869034
23,PM Seelaar ,69,58,172,3,1190,53,4,22,6,19,1,0,,NL,,NL,0.17810257588810566,4.670686456400745,0.040731595718232656,3.7014832160477806
14,Mohammad Amir ,48,48,175,5,1224,59,4,20,6,17,1,0,,PAK,,PAK,0.13740166932647904,4.65213358070501,0.06525828005914185,3.6591309948848076
24,R Ashwin ,46,46,171,2,1193,52,4,22,6,19,2,0,,INDIA,,INDIA,0.11786199874948167,4.582560296846014,0.02686164877198301,3.568213045769984
27,Mustafizur Rahman ,37,37,135,3,1065,52,5,20,7,15,1,1,,BDESH,,BDESH,0.12278447046196003,4.52226345083488,0.03942437774818307,3.534194247462212
35,M Morkel ,44,44,158,3,1191,47,4,25,7,20,2,0,,SA,World,SA,0.11307639075232674,4.359925788497218,0.037353818443600036,3.401697641347041
13,DW Steyn ,44,44,157,3,1068,61,4,17,6,15,2,0,,SA,,SA,0.1511066951672276,4.2439703153988875,0.04561725055926124,3.3568930569960242
16,KJ O'Brien ,90,51,150,0,1134,58,4,19,7,15,1,0,,IRE,,IRE,0.3218422502086844,4.035250463821894,0.0,3.3482800980751053
34,SR Watson ,58,49,155,2,1187,48,4,24,7,19,1,0,,AUS,,AUS,0.1573114240117504,4.230055658627089,0.024593404461578497,3.3421498702128565
40,MRJ Watt ,35,33,125,2,903,45,5,20,7,16,0,1,,SCOT,,SCOT,0.11596311099185114,4.17439703153989,0.0321953716348946,3.2628585704642155
20,Sohail Tanvir ,57,57,202,3,1454,54,3,26,7,22,0,0,,PAK,,PAK,0.14053369343100583,4.132653061224492,0.030580212355565684,3.2553135955271575
21,RE van der Merwe ,43,42,149,1,938,54,4,17,6,16,1,0,,NL,SA,NL,0.14759258597729208,4.007421150278294,0.018039410048630956,3.162178153710328
18,CJ Jordan ,43,43,151,0,1300,54,4,24,8,16,2,0,,ENG,,ENG,0.13247277811515829,4.007421150278294,0.0,3.1380386408238787
33,SM Sharif ,42,41,143,0,1185,49,4,24,8,17,1,0,,SCOT,,SCOT,0.12931866435051165,3.8636363636363646,0.0,3.0270459370777845
37,PA van Meekeren ,41,39,136,2,945,47,4,20,6,17,2,0,,NL,,NL,0.11693759091615238,3.7059369202226353,0.03253013641122749,2.912655349288743
30,NLTC Perera ,79,64,175,1,1628,51,3,31,9,20,0,0,World,ICC,SL,SL,0.20308270960999386,3.548237476808907,0.006430226111371064,2.8674759302723594
38,Shadab Khan ,38,36,135,1,948,46,4,20,6,17,1,0,,PAK,,PAK,0.10816727159744094,3.6270871985157713,0.016061103083620732,2.83651322202608
108,Samiullah Shinwari ,62,38,105,0,688,28,5,24,6,22,1,1,,AFG,,AFG,0.1443007047325831,3.5714285714285716,0.0,2.8228721333040117
22,WB Rankin ,48,47,170,2,1138,53,3,21,6,19,0,0,,ENG,IRE,ENG,0.1299104810057117,3.5030148423005594,0.0292751192340474,2.7718091723481555
1346,MN Waller ,32,3,5,0,42,0,0,0,8,0,0,0,,ZIM,,ZIM,2.749445676274945,0.0,0.0,2.749445676274945
61,DL Vettori ,34,34,131,1,748,38,4,19,5,20,1,0,,NZ,,NZ,0.08523911923665,3.525046382189241,0.022480619846402303,2.7402642158017816
32,MJ Santner ,39,38,128,1,928,49,4,18,7,15,1,0,,NZ,,NZ,0.1460935281037815,3.40909090909091,0.015771370181102643,2.7107973950125155
49,WD Parnell ,40,39,124,3,1038,41,4,25,8,18,1,0,,SA,,SA,0.11720875054726224,3.423005565862709,0.0379076387098931,2.7034167442992403
64,AD Mathews ,72,57,161,4,1101,37,3,29,6,26,0,0,,SL,,SL,0.13381201839093465,3.346474953617812,0.05899968504689082,2.67316807612774
1147,Aftab Ahmed ,11,1,0,0,8,0,0,0,24,0,0,0,,BDESH,,BDESH,2.6607538802660757,0.0,0.0,2.6607538802660757
42,Ahsan Malik ,31,29,95,1,730,44,5,16,7,13,1,1,,NL,,NL,0.13160775064612262,3.316326530612246,0.01688717946286263,2.627296238336738
52,Dawlat Zadran ,34,34,123,2,980,40,4,24,7,18,1,0,,AFG,,AFG,0.09107503495417132,3.339517625231912,0.0276855822336963,2.609556044994953
41,Abdur Razzak ,34,33,121,4,838,44,4,19,6,16,1,0,,BDESH,,BDESH,0.10228694308397998,3.2653061224489806,0.07008904989028668,2.586311059865859
29,JJ Bumrah ,42,42,153,5,1029,51,3,20,6,18,0,0,,INDIA,,INDIA,0.11986103068905621,3.193413729128016,0.07915820753469807,2.554500431302417
44,Mudassar Bukhari ,38,35,117,4,780,43,4,18,6,16,3,0,,NL,,NL,0.12192768134977253,3.191094619666049,0.07552208707430264,2.5530096896364602
55,JW Dernbach ,34,33,117,1,1020,39,4,26,8,18,1,0,,ENG,,ENG,0.09464514047394271,3.256029684601114,0.01229378179223568,2.542814294820896
1324,Sohaib Maqsood ,20,1,1,0,12,0,0,0,12,0,0,0,,PAK,,PAK,2.527716186252772,0.0,0.0,2.527716186252772
60,HH Pandya ,40,39,116,1,976,38,4,25,8,18,1,0,,INDIA,,INDIA,0.11720875054726224,3.1725417439703163,0.01314552369795846,2.503187820373979
