,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w
0,Imran Tahir,17,17,64,431,26,16.57,6.69,14.84,2,0
1,Kagiso Rabada,12,12,47,368,25,14.72,7.82,11.28,2,0
2,Deepak Chahar,17,17,64,482,22,21.9,7.47,17.59,0,0
3,Shreyas Gopal,14,14,48,347,20,17.35,7.22,14.4,0,0
4,Mohammad Shami,14,14,54,469,19,24.68,8.68,17.05,0,0
5,Khaleel Ahmed,9,9,35,287,19,15.1,8.23,11.0,0,0
6,Jasprit Bumrah,16,16,61,409,19,21.52,6.63,19.47,0,0
7,Yuzvendra Chahal,14,14,49,386,18,21.44,7.82,16.44,1,0
8,Rashid Khan,15,15,60,377,17,22.17,6.28,21.17,0,0
9,Lasith Malinga,12,12,45,438,16,27.37,9.76,16.81,2,0
10,Harbhajan Singh,11,11,44,312,16,19.5,7.09,16.5,0,0
11,Ravichandran Ashwin,14,14,55,400,15,26.66,7.27,22.0,0,0
12,Ravindra Jadeja,16,16,54,343,15,22.86,6.35,21.6,0,0
13,Hardik Pandya,16,16,42,390,14,27.85,9.17,18.21,0,0
14,Chris Morris,9,9,33,306,13,23.53,9.27,15.23,0,0
15,Rahul Chahar,13,13,47,308,13,23.69,6.55,21.69,0,0
16,Ishant Sharma,13,13,46,349,13,26.84,7.58,21.23,0,0
17,Bhuvneshwar Kumar,15,15,59,461,13,35.46,7.81,27.23,0,0
18,Krunal Pandya,16,16,46,335,12,27.91,7.28,23.0,0,0
19,Sandeep Sharma,11,11,42,352,12,29.33,8.25,21.33,0,0
20,Dwayne Bravo,12,12,41,330,11,30.0,8.01,22.45,0,0
21,Amit Mishra,11,11,40,270,11,24.54,6.75,21.81,0,0
22,Andre Russell,14,12,30,287,11,26.09,9.51,16.45,0,0
23,Navdeep Saini,13,13,48,397,11,36.09,8.27,26.18,0,0
24,Jofra Archer,11,11,43,291,11,26.45,6.76,23.45,0,0
25,Sam Curran,9,9,33,323,10,32.3,9.78,19.8,1,0
26,Axar Patel,14,14,51,364,10,36.4,7.13,30.6,0,0
27,Piyush Chawla,13,13,44,399,10,39.9,8.96,26.7,0,0
28,Sunil Narine,12,12,44,347,10,34.7,7.82,26.6,0,0
29,Jaydev Unadkat,11,11,37,398,10,39.8,10.66,22.4,0,0
30,Keemo Paul,8,8,27,237,9,26.33,8.72,18.11,0,0
31,Shardul Thakur,10,9,30,281,8,35.12,9.36,22.5,0,0
32,Mohammad Nabi,8,8,29,194,8,24.25,6.65,21.87,1,0
33,Umesh Yadav,11,11,38,371,8,46.37,9.8,28.37,0,0
34,Sandeep Lamichhane,6,6,23,210,8,26.25,9.13,17.25,0,0
35,Mohammed Siraj,9,9,28,269,7,38.42,9.55,24.14,0,0
36,Harry Gurney,8,8,27,238,7,34.0,8.81,23.14,0,0
37,Hardus Viljoen,6,6,23,222,7,31.71,9.65,19.71,0,0
38,Siddarth Kaul,7,7,27,242,6,40.33,8.96,27.0,0,0
39,Moeen Ali,11,9,25,169,6,28.16,6.76,25.0,0,0
40,Alzarri Joseph,3,3,8,87,6,14.5,10.03,8.66,0,1
41,Dhawal Kulkarni,10,10,35,335,6,55.83,9.57,35.0,0,0
42,Ben Stokes,9,6,17,189,6,31.5,11.22,16.83,0,0
43,Jason Behrendorff,5,5,19,165,5,33.0,8.68,22.8,0,0
44,Trent Boult,5,5,19,163,5,32.6,8.57,22.8,0,0
45,Oshane Thomas,4,4,10,79,5,15.8,7.9,12.0,0,0
46,Murugan Ashwin,10,10,34,255,5,51.0,7.5,40.8,0,0
47,Washington Sundar,3,3,9,74,4,18.5,8.22,13.5,0,0
48,Dale Steyn,2,2,8,69,4,17.25,8.62,12.0,0,0
49,Ish Sodhi,2,2,7,67,4,16.75,9.34,10.75,0,0
50,Prasidh Krishna,11,11,40,377,4,94.25,9.34,60.5,0,0
51,Kuldeep Yadav,9,9,33,286,4,71.5,8.66,49.5,0,0
52,Mitchell Santner,4,4,14,94,4,23.5,6.71,21.0,0,0
53,Varun Aaron,5,5,12,116,4,29.0,9.66,18.0,0,0
54,Mujeeb Ur Rahman,5,5,19,191,3,63.66,10.05,38.0,0,0
55,Arshdeep Singh,3,3,10,109,3,36.33,10.9,20.0,0,0
56,Nitish Rana,14,6,8,72,3,24.0,9.0,16.0,0,0
57,Ankit Rajpoot,4,4,16,152,3,50.66,9.5,32.0,0,0
58,Pawan Negi,7,4,11,102,3,34.0,9.13,22.33,0,0
59,Andrew Tye,6,6,22,233,3,77.66,10.59,44.0,0,0
60,Mitchell McClenaghan,5,5,18,142,3,47.33,7.88,36.0,0,0
61,Shakib Al Hasan,3,3,11,95,2,47.5,8.76,32.5,0,0
62,Shahbaz Nadeem,3,3,9,90,2,45.0,10.0,27.0,0,0
63,Scott Kuggeleijn,2,2,8,71,2,35.5,8.87,24.0,0,0
64,Sandeep Warrier,3,3,12,85,2,42.5,7.08,36.0,0,0
