,Player,Mat,Inns,NO,Runs,Avg,BF,SR,100,50,4s,6s,Seasons
0,AB de Villiers,80,77,17,2592,42.34,1629,156.15,1,25,195,148,6
1,Aaron Finch,53,51,4,1180,24.1,881,136.74,0,9,114,49,5
2,Abdul Samad,25,20,4,226,12.18,159,118.49,0,0,12,14,3
3,Abhijeet Tomar,1,1,0,4,4.0,8,50.0,0,0,1,0,1
4,Abhinav Manohar,8,7,1,108,18.0,75,144.0,0,0,14,3,1
5,Abhishek Sharma,36,34,6,667,25.69,493,136.29,0,2,64,25,5
6,Adam Milne,8,6,2,23,5.75,29,76.22,0,0,0,1,2
7,Adam Zampa,11,2,0,5,2.5,8,35.71,0,0,1,0,2
8,Aditya Tare,6,5,0,26,5.0,38,65.8,0,0,4,0,2
9,Aiden Markram,20,18,5,527,38.42,393,130.86,0,3,37,23,2
10,Ajinkya Rahane,77,73,6,1879,24.49,1543,115.79,1,11,200,38,7
11,Akila Dananjaya,1,1,1,4,0.0,5,80.0,0,0,0,0,1
12,Akshdeep Nath,14,10,0,90,6.96,98,62.58,0,0,7,2,4
13,Albie Morkel,2,1,0,16,16.0,9,177.77,0,0,0,2,1
14,Alex Carey,3,3,1,32,16.0,29,110.34,0,0,0,1,1
15,Alex Hales,6,6,0,148,24.66,118,125.42,0,0,13,6,1
16,Alzarri Joseph,12,5,4,20,2.5,20,93.4,0,0,2,0,2
17,Aman Khan,1,1,0,5,5.0,3,166.66,0,0,1,0,1
18,Ambati Rayudu,92,85,14,2199,29.77,1737,125.77,1,11,179,100,7
19,Amit Mishra,49,13,8,75,15.38,92,65.08,0,0,4,2,4
20,Andre Russell,76,65,13,1649,31.43,927,170.99,0,7,99,153,6
21,Andrew Tye,27,13,4,91,9.46,76,90.22,0,0,6,5,4
22,Angelo Mathews,3,2,0,32,16.0,27,118.51,0,0,2,1,1
23,Aniket Choudhary,5,3,2,25,25.0,20,125.0,0,0,1,1,1
24,Ankit Bawne,1,1,1,12,0.0,12,100.0,0,0,1,0,1
25,Ankit Rajpoot,19,6,1,24,5.55,35,69.42,0,0,2,1,3
26,Ankit Sharma,4,2,1,28,12.5,18,133.33,0,0,2,1,2
27,Ankit Soni,7,3,1,7,3.5,9,77.77,0,0,0,1,1
28,Anmolpreet Singh,3,3,0,29,11.25,27,107.14,0,0,3,1,2
29,Anrich Nortje,22,6,5,8,3.5,12,66.66,0,0,0,0,2
30,Anuj Rawat,10,9,0,129,8.06,119,54.66,0,1,10,7,2
31,Anureet Singh,4,2,1,18,7.5,16,100.0,0,0,2,0,2
32,Arshdeep Singh,34,9,5,23,2.33,35,46.36,0,0,3,0,3
33,Ashish Nehra,8,2,2,1,0.0,1,100.0,0,0,0,0,1
34,Ashish Reddy,4,3,1,47,23.5,29,162.06,0,0,2,4,1
35,Ashok Dinda,3,1,0,7,7.0,7,100.0,0,0,1,0,1
36,Ashton Turner,4,4,1,3,1.0,10,30.0,0,0,0,0,1
37,Avesh Khan,30,6,5,31,7.33,19,156.41,0,0,2,3,3
38,Axar Patel,91,68,24,867,20.57,647,128.78,0,0,48,45,7
39,Ayush Badoni,13,11,3,161,20.13,130,123.84,0,1,11,7,1
40,B Indrajith,3,3,0,21,7.0,30,70.0,0,0,2,0,1
41,Barinder Sran,22,9,8,10,1.0,14,80.95,0,0,0,0,3
42,Basil Thampi,19,8,7,32,1.0,35,83.33,0,0,1,1,3
43,Ben Cutting,20,16,6,230,22.75,135,164.68,0,0,15,18,4
44,Ben Laughlin,7,2,1,1,1.0,4,25.0,0,0,0,0,1
45,Ben Stokes,43,42,6,920,21.83,684,106.29,2,2,79,32,5
46,Bhanuka Rajapaksa,9,9,0,206,22.89,129,159.68,0,0,16,13,1
47,Bhuvneshwar Kumar,87,33,16,130,9.09,124,87.04,0,0,14,1,7
48,Billy Stanlake,4,1,1,5,0.0,2,250.0,0,0,1,0,1
49,Bipul Sharma,14,7,4,82,28.25,49,166.58,0,0,3,6,2
50,Brendon McCullum,33,33,0,800,24.09,567,142.14,0,3,83,40,3
51,Carlos Brathwaite,16,14,1,181,12.58,111,141.17,0,0,10,16,4
52,Chetan Sakariya,14,6,1,16,3.2,25,64.0,0,0,2,0,1
53,Chris Gayle,60,60,4,1766,31.54,1248,139.35,1,13,143,127,6
54,Chris Jordan,27,11,3,75,7.93,65,91.68,0,0,3,3,5
55,Chris Lynn,39,39,3,1265,37.41,887,140.9,0,10,126,63,5
56,Chris Morris,54,38,14,528,28.17,336,150.79,0,2,38,30,6
57,Chris Woakes,21,12,6,78,6.67,77,107.9,0,0,7,2,3
58,Colin Ingram,12,12,2,184,18.4,154,119.48,0,0,20,5,1
59,Colin Munro,13,12,0,177,14.53,141,124.55,0,0,19,8,3
60,Colin de Grandhomme,25,21,5,303,19.09,225,128.92,0,0,18,18,3
61,Corey Anderson,14,14,4,159,12.97,145,96.35,0,0,8,10,2
62,D'Arcy Short,7,7,0,115,16.42,99,116.16,0,0,11,5,1
63,Dale Steyn,4,2,1,2,0.5,4,50.0,0,0,0,0,2
64,Dan Christian,26,19,6,119,10.38,106,99.44,0,0,6,6,3
65,Daniel Sams,16,13,4,44,3.81,44,68.52,0,0,1,3,3
66,Darren Bravo,1,1,1,6,0.0,5,120.0,0,0,1,0,1
67,Daryl Mitchell,2,2,0,33,16.5,44,75.0,0,0,1,0,1
68,David Miller,57,54,19,1136,33.48,889,120.76,0,4,80,43,6
69,David Warner,79,79,13,3356,49.92,2368,138.33,2,32,327,113,6
70,David Wiese,1,1,1,5,0.0,4,125.0,0,0,0,0,1
71,David Willey,4,2,0,18,9.0,30,60.0,0,0,3,0,1
72,Dawid Malan,1,1,0,26,26.0,26,100.0,0,0,1,1,1
