,Player,Mat,Inns,Ov,Runs,Wkts,Avg,Econ,SR,4w,5w,Seasons
0,Abdul Samad,12,3,7.0,96,1,96.0,13.71,42.0,0,0,1
1,Abhishek Sharma,19,14,22.0,176,7,27.5,8.67,19.0,0,0,3
2,Adam Milne,9,9,32.0,308,7,43.77,9.89,26.67,0,0,3
3,Adam Zampa,14,14,48.0,370,21,26.29,7.78,19.5,0,1,3
4,Aiden Markram,14,4,6.0,64,1,64.0,10.66,36.0,0,0,1
5,Akash Deep,5,5,18.5,205,5,41.0,10.88,22.6,0,0,1
6,Albie Morkel,2,2,5.0,66,2,33.0,13.2,15.0,0,0,1
7,Alzarri Joseph,12,12,38.0,351,13,26.1,9.41,17.19,0,1,2
8,Amit Mishra,56,56,186.0,1402,55,24.91,7.53,19.81,2,0,6
9,Andre Russell,76,67,169.1,1574,73,22.56,9.39,14.47,2,1,6
10,Andrew Tye,30,30,114.0,979,42,42.31,9.5,25.1,3,1,5
11,Aniket Choudhary,5,5,17.0,144,5,28.8,8.55,20.2,0,0,1
12,Ankit Rajpoot,27,27,84.0,779,23,45.97,9.25,28.05,0,1,5
13,Ankit Sharma,3,3,11.0,84,1,84.0,7.63,66.0,0,0,1
14,Ankit Soni,7,6,18.0,144,2,72.0,7.92,54.5,0,0,1
15,Anrich Nortje,30,30,113.2,916,43,20.99,8.09,15.56,0,0,3
16,Anukul Roy,3,3,9.0,66,2,33.0,6.68,27.0,0,0,2
17,Anureet Singh,3,3,4.0,42,1,42.0,10.5,24.0,0,0,1
18,Arshdeep Singh,37,37,126.0,1054,40,29.51,8.91,20.08,0,1,4
19,Ashish Nehra,14,14,47.0,396,17,23.36,8.48,16.6,0,0,2
20,Ashish Reddy,4,2,4.0,39,1,39.0,10.17,23.0,0,0,1
21,Ashok Dinda,12,12,40.0,350,12,70.0,9.74,38.32,0,0,2
22,Avesh Khan,36,36,131.4,1093,47,28.96,8.14,20.91,1,0,4
23,Axar Patel,91,90,313.0,2286,71,39.04,7.38,31.32,1,0,7
24,Ayush Badoni,13,2,2.0,11,2,5.5,5.5,6.0,0,0,1
25,Barinder Sran,20,20,71.0,642,18,43.38,9.37,27.1,0,0,2
26,Basil Thampi,22,22,74.0,736,22,34.44,10.42,19.94,0,0,4
27,Ben Cutting,20,16,42.0,398,9,62.5,10.06,38.1,0,0,4
28,Ben Laughlin,7,7,21.0,211,9,23.44,10.04,14.0,0,0,1
29,Ben Stokes,42,36,113.0,962,28,43.18,9.21,27.9,0,0,4
30,Bhuvneshwar Kumar,87,87,331.1,2491,92,33.0,7.46,26.24,1,1,7
31,Billy Stanlake,6,6,24.0,200,7,30.5,8.43,21.6,0,0,2
32,Bipul Sharma,14,13,30.0,250,6,41.66,8.26,30.33,0,0,2
33,Brad Hogg,5,5,16.0,142,4,35.5,8.87,24.0,0,0,1
34,Carlos Brathwaite,14,14,39.0,346,13,37.41,9.46,22.68,0,0,3
35,Chetan Sakariya,17,17,63.0,510,17,29.21,7.91,22.14,0,0,2
36,Chris Gayle,10,4,10.0,63,2,31.5,6.3,30.0,0,0,1
37,Chris Jordan,26,26,83.5,793,26,37.18,9.34,23.19,1,0,4
38,Chris Morris,54,54,194.0,1583,67,26.5,8.34,18.78,3,0,6
39,Chris Woakes,21,21,73.0,658,30,20.95,8.86,14.16,0,0,3
40,Colin de Grandhomme,21,16,31.0,264,6,49.12,8.52,34.5,0,0,2
41,Corey Anderson,14,11,27.0,301,6,50.16,11.56,27.49,0,0,2
42,D'Arcy Short,7,2,3.0,19,1,19.0,6.33,18.0,0,0,1
43,Dale Steyn,5,5,19.0,202,5,75.12,10.01,41.0,0,0,2
44,Dan Christian,26,26,68.0,554,19,30.36,8.43,21.52,0,0,3
45,Daniel Sams,13,13,48.0,409,14,33.73,7.65,27.69,1,0,2
46,Darshan Nalkande,2,2,5.1,59,2,29.5,11.41,15.5,0,0,1
47,David Willey,7,7,21.0,167,3,59.75,8.02,48.0,0,0,2
48,Deepak Chahar,61,61,215.0,1681,59,37.78,8.26,26.33,2,0,5
49,Deepak Hooda,65,20,39.0,339,9,37.07,9.54,24.4,0,0,5
50,Dewald Brevis,7,1,0.3,8,1,8.0,16.0,3.0,0,0,1
51,Dhawal Kulkarni,38,38,123.0,1060,31,45.18,8.91,29.68,1,0,4
